iteration	solveMasterNet(ms)	updateSubDemand(ms)	solveSubNets(ms)	mapFlow(ms)	getGapFullNet(ms)
277	33.0	1.0	247.0	0.0	2.0
278	18.0	0.0	252.0	0.0	2.0
279	18.0	0.0	250.0	1.0	1.0
280	18.0	0.0	242.0	0.0	0.0
281	16.0	15.0	250.0	0.0	0.0
282	16.0	0.0	259.0	0.0	0.0
283	16.0	0.0	266.0	0.0	0.0
284	15.0	0.0	267.0	0.0	2.0
285	18.0	0.0	258.0	0.0	1.0
286	19.0	0.0	252.0	1.0	1.0
287	18.0	0.0	242.0	0.0	0.0
288	15.0	0.0	250.0	0.0	16.0
289	16.0	0.0	249.0	0.0	0.0
290	15.0	0.0	255.0	0.0	0.0
291	16.0	0.0	246.0	0.0	0.0
292	31.0	0.0	235.0	0.0	0.0
293	15.0	0.0	252.0	0.0	0.0
294	16.0	0.0	250.0	0.0	0.0
295	15.0	0.0	250.0	0.0	0.0
296	31.0	0.0	234.0	0.0	16.0
297	16.0	0.0	235.0	0.0	15.0
298	16.0	0.0	234.0	0.0	0.0
299	31.0	0.0	235.0	0.0	0.0
300	16.0	0.0	250.0	0.0	0.0
301	16.0	0.0	233.0	0.0	0.0
302	32.0	0.0	234.0	0.0	0.0
303	32.0	1.0	250.0	0.0	0.0
304	16.0	0.0	253.0	0.0	1.0
305	18.0	0.0	243.0	0.0	0.0
306	15.0	0.0	245.0	0.0	2.0
307	17.0	0.0	238.0	0.0	0.0
308	16.0	0.0	249.0	0.0	0.0
309	16.0	0.0	254.0	0.0	0.0
310	16.0	0.0	261.0	0.0	0.0
311	16.0	0.0	234.0	0.0	0.0
312	31.0	0.0	236.0	0.0	0.0
313	16.0	0.0	250.0	0.0	0.0
314	15.0	0.0	263.0	0.0	2.0
315	17.0	1.0	252.0	0.0	1.0
316	18.0	0.0	246.0	0.0	2.0
317	17.0	0.0	241.0	0.0	2.0
318	15.0	0.0	236.0	0.0	0.0
319	16.0	0.0	248.0	0.0	0.0
320	15.0	0.0	238.0	0.0	0.0
321	16.0	0.0	234.0	0.0	0.0
322	16.0	0.0	235.0	0.0	0.0
323	31.0	0.0	234.0	0.0	0.0
324	16.0	0.0	249.0	0.0	0.0
325	16.0	0.0	234.0	0.0	0.0
326	16.0	0.0	251.0	0.0	0.0
327	15.0	0.0	250.0	0.0	0.0
328	16.0	0.0	236.0	0.0	0.0
329	16.0	0.0	234.0	0.0	0.0
330	16.0	0.0	248.0	0.0	0.0
331	16.0	0.0	234.0	0.0	16.0
332	18.0	1.0	241.0	0.0	0.0
333	15.0	0.0	235.0	0.0	0.0
334	30.0	0.0	232.0	0.0	0.0
335	15.0	0.0	249.0	0.0	1.0
336	18.0	0.0	227.0	0.0	0.0
337	15.0	0.0	254.0	0.0	1.0
338	17.0	1.0	212.0	0.0	16.0
339	9.0	0.0	234.0	0.0	0.0
340	25.0	1.0	231.0	0.0	0.0
341	16.0	0.0	251.0	0.0	1.0
342	18.0	0.0	215.0	0.0	15.0
343	16.0	0.0	219.0	0.0	0.0
344	29.0	1.0	220.0	0.0	0.0
345	16.0	0.0	234.0	0.0	0.0
346	16.0	0.0	219.0	0.0	0.0
347	15.0	0.0	235.0	0.0	0.0
348	20.0	0.0	230.0	15.0	0.0
349	16.0	0.0	234.0	0.0	0.0
350	16.0	0.0	227.0	0.0	0.0
351	16.0	0.0	234.0	0.0	0.0
352	16.0	0.0	228.0	0.0	0.0
353	15.0	0.0	235.0	0.0	0.0
354	15.0	0.0	220.0	0.0	0.0
355	15.0	0.0	235.0	0.0	0.0
356	15.0	0.0	234.0	0.0	0.0
357	32.0	0.0	218.0	0.0	0.0
358	16.0	0.0	236.0	0.0	0.0
359	16.0	0.0	234.0	0.0	0.0
360	16.0	0.0	233.0	0.0	0.0
361	16.0	0.0	219.0	0.0	0.0
362	16.0	0.0	220.0	0.0	0.0
