origin 	 dest 	 flow 	 cost
178	16495	33	5.012085
178	28610	1107	4.067909069
179	19787	8373	2.012574589
179	39534	756	2.532142018
180	21569	0	13.530837
180	23133	177	3.295341001
180	24741	5247	7.099860322
181	12007	6	10.623561
181	19562	3094	2.037164368
181	23181	74	3.88547
181	27870	0	10.711697
182	5300	6092	3.004572578
182	11174	413	4.899680009
182	15780	2286	1.715699154
182	32603	1197	4.654525095
183	15768	42	6.869619
183	17698	0	8.830043
183	44705	6903	4.302737922
184	32289	1680	2.169950096
185	44046	17239	2.308030668
186	16350	0	2.971488
186	36228	6644	0.954248
187	11448	8848	0.547301108
187	13964	1822	1.279588068
188	19235	1915	2.820241169
188	30993	5739	0.674759505
189	24263	0	1.595974
189	41640	12297	0.177251765
190	7358	41	12.109904
190	18700	4	5.488194
190	21028	2626	9.530453181
191	30730	7102	1.957592391
191	34784	10125	1.488558109
192	6598	9826	5.847453067
192	15248	3296	7.470039561
193	17903	31784	2.539065351
193	40009	0	3.270129
193	43041	2054	3.504183247
194	7280	10989	2.030433767
194	10040	0	3.383067
194	21753	1730	1.570805075
195	33747	1728	1.599721076
196	18735	984	1.617614021
196	25602	7003	2.574567044
196	26673	1880	2.552013147
197	6598	2681	2.033026264
197	18082	25429	0.523731022
198	11552	29586.43728	2.012196429
198	15553	5793.562719	3.129666393
198	22905	428	2.917942006
199	15553	22139	3.228476884
199	19739	25561	4.815386855
200	7291	518	9.243806027
200	28145	1512	6.017212209
201	5765	0	29.082125
201	26667	186	14.426938
201	31156	0	28.886023
201	35383	0	49.978909
202	5268	25427.44949	0.427195804
202	8184	0	1.599528
202	15804	0	2.157502
202	16032	0	1.166
202	33562	9645.550515	1.086970684
203	41399	41193.89212	3.337683346
203	43233	13442.10788	2.780101728
204	26684	62333.78817	2.344856161
204	43653	0	3.598822
204	43871	26908.21183	2.720260111
205	12632	14658	2.557346533
205	18296	32409	2.258380555
206	15248	2621	0.416779051
207	18193	520	2.418101007
207	24857	39698	2.007051322
207	43020	6160	3.573714146
208	20137	19312	3.321882494
208	23049	31736	3.39218861
209	12781	19819.15014	3.566976152
209	15309	64876.84986	2.249704092
210	6206	605	4.398177019
210	33629	17659	2.621935016
211	6206	19970	1.702256413
211	38727	24029	4.400078664
212	10257	116	17.180355
212	17367	0	21.759981
212	31171	11	15.338106
213	17918	28684	1.298924332
214	19679	23578	2.265850711
215	6132	10862	2.120483881
216	24841	4915	1.777254931
217	36501	10874	2.323436558
218	43725	1060	1.572877024
219	21451	6600	2.634052718
220	15575	3406	4.131168931
220	31505	31	9.213168
220	36782	647	6.741430033
221	10200	0	35.55854
221	16965	0	22.850636
221	23923	2540	8.199635941
221	36782	589	10.22321204
222	14918	2139	9.149545707
222	20646	151	6.270774001
223	22268	1338	3.774545099
223	28487	36209	2.004006695
224	9515	1042	2.982298044
224	25022	696	6.87840904
225	6898	0	11.346322
225	33502	1345	3.854771102
225	34314	182	7.586285002
226	11779	0	9.585675
226	16143	3904	2.272251701
226	29160	0	5.43644
226	43204	0	5.209213
227	26322	786	4.118308032
227	35890	0	7.59267
227	37028	5321	4.224815656
228	15608	1740	6.2435563
228	40881	627	7.444128034
229	42495	2600	4.659770564
230	19517	15150	6.266256708
231	9102	8259	1.485470567
232	37957	17392	1.630095618
233	42099	4739	1.693736816
234	5240	2375	1.52829815
234	7159	0	1.197167
234	41811	1936	2.792791172
235	19380	0	19.760448
235	21552	138	0.154564
235	32116	0	26.473948
236	16719	6961	2.309299693
237	28217	5501	0.999870679
238	11634	6001	1.250213036
239	14178	353	1.570588
239	14864	5957	1.155129941
239	30890	3168	2.370747452
240	11634	3392	2.315579517
240	14864	974	1.714960022
241	27656	1112	2.001366706
241	43528	42846	2.078757405
242	31362	1111	0.988075017
242	39027	6456	0.305287299
243	16516	7113	0.403816495
243	27136	984	0.687416009
244	14538	5260	1.137810697
244	36052	512	0.506523001
245	12313	1724	10.6247395
246	35239	872	0.576766006
247	26816	1766	7.522013374
248	14611	0	4.401105
248	27325	12061	1.501249198
248	31447	0	2.046999
248	33870	0	15.513994
249	26769	157	4.333412001
250	10200	0	3.714316
250	14211	0	3.920534
250	26633	10811	1.466392707
251	16129	12945	4.840236513
251	25609	688	6.897060039
252	15704	25265	0.360870161
252	43033	0	3.948773
253	17130	5664.150456	2.230045619
253	39493	6551.849544	1.778475804
254	6674	446	15.99323103
254	14853	2347	4.892525468
255	15009	1935	3.923663049
255	16599	0	16.045345
255	27697	44	7.126923
255	39921	0	5.199595
255	43915	4	18.420126
256	5089	2910	1.028607161
257	8586	197	0.292434
257	37651	0	0.411065
257	39558	91	0.859334
258	25286	4376	1.389508557
258	38280	195	1.22723
259	37303	994	6.76377109
260	15527	2068	13.27188495
260	33208	308	9.088763008
260	40545	62	10.147094
261	12418	282	11.46225501
261	23665	189	10.161429
261	29063	2157	8.12410564
262	21483	2066	2.778474198
262	22479	250	8.967061005
263	7829	2549	6.028244697
263	37861	252	2.686697002
264	29063	174	5.245940001
265	9731	1901	4.995045294
265	39286	972	4.935588062
266	26499	806	1.007602008
266	33025	4337	0.820960322
267	31980	187	9.633080003
267	32195	2354	7.547601727
268	36771	8655	3.021330815
268	40003	1265	1.865170043
269	8229	17	12.520732
269	15776	1748	5.378824261
269	16511	74	10.830079
269	17765	0	12.106022
270	4845	0	1.034467
270	29973	4015	0.330577109
271	6548	1952	11.67709173
271	42807	1840	9.225796504
272	11300	475	17.97913704
272	34590	1085	22.00276636
273	7496	628	6.47909003
273	28474	826	3.161380027
273	28695	16	4.118855
274	6249	1186	6.157584123
274	21841	0	6.929853
274	28822	318	4.820243005
274	30452	205	3.885963001
274	40524	9	13.491576
275	13405	1307	19.16078048
275	32661	1789	15.20966578
276	11599	1788	2.799932143
276	26512	434	8.174218016
276	28822	942	9.072688106
277	19935	2474	7.139615771
277	28172	14	5.689911
277	28783	236	7.883903004
278	21871	1644	5.339227225
278	33051	211	5.633716002
279	22453	2933	1.638942262
279	24993	945	1.618534019
279	36771	3977	1.622424522
280	11828	2733	3.424013465
280	20840	1920	0.652529039
281	25157	10735	0.330620044
281	26282	0	1.025946
282	11470	2030	1.090762075
282	43394	662	0.828071001
283	25282	9111	0.736111594
283	38357	1082	1.87573603
284	28794	2515	6.77495976
285	21531	992	5.858437077
285	31365	0	5.308123
286	8025	0	7.460277
286	15615	0	8.994326
286	29598	0	7.077423
286	29964	1881	1.625047093
286	42457	0	6.558894
287	26267	2838	5.831052864
288	38314	2254	2.312028202
288	44199	3121	2.709306499
289	18649	16	2.97974
289	28795	3666	3.052780815
290	14027	902	7.493400079
290	28272	13	18.795649
290	35278	0	7.122142
290	35840	4125	1.385058485
291	18744	0	1.375905
291	44199	4314	0.660480256
292	10964	7322	1.972954584
293	4800	0	3.398172
293	14697	2089	2.46371818
293	20638	182	13.756919
293	26403	0	12.52086
293	43809	0	10.263744
294	11508	1374	4.509998126
294	24974	1495	6.241251212
294	30103	37	9.730245
294	39117	2	16.046139
294	39870	0	35.415882
295	22369	0	14.695962
295	27282	1496.732395	5.57448819
295	31194	2761.267605	9.170731275
296	9973	2315	7.890775731
296	37753	2975	10.09158367
297	7443	3529	6.275041534
297	25660	30	13.160716
298	7665	0	1.392757
298	16785	742	1.561128011
298	30101	1238	2.324993051
299	12941	4690	4.663266193
299	30542	853	1.749992016
300	5077	5096	6.048109442
300	10126	192	12.101074
301	28617	364	7.78111601
302	9696	1643	12.74607754
302	34834	920	10.69732512
303	30366	3453	5.557633292
303	32616	369	3.704304005
304	7959	2801	10.4149885
304	41874	2605	2.71043733
305	8703	188	4.595738001
305	11892	2574	7.715057913
306	11276	1067.15484	7.977293125
306	21956	1336.84516	8.276963217
