NewNodeID	Longitude	latitude
238	-97477552	28038303
239	-97514246	28019282
240	-97490839	28017653
241	-97333429	27886330
242	-97585503	27943100
243	-97814333	28096113
244	-97836345	28098252
245	-96910124	28162412
246	-103390387	31461444
247	-97032176	28242169
248	-97107512	28008986
249	-97156080	27971653
250	-97133073	27942229
251	-97043606	28089825
252	-97057512	28042151
253	-97070176	28016708
254	-97337702	28185127
255	-97206796	28342458
256	-97323831	28237679
257	-103123545	31534047
258	-97271403	28304813
259	-96965308	28395904
260	-98214389	28195908
261	-98013276	28247461
262	-97896243	28188641
263	-97931284	28097931
264	-97955039	28198150
265	-98135137	28426307
266	-98111173	28334719
267	-98264357	28513004
268	-102873944	31591656
269	-98134128	28637865
270	-98180352	28462119
271	-97626291	28206821
272	-97554021	28324523
273	-97766818	28238215
274	-97773334	28345979
275	-97573564	28431883
276	-97864727	28406194
277	-97930482	28605388
278	-97765702	28592890
279	-102900350	31584552
280	-97804593	28480104
281	-97748250	28422995
282	-97737849	28408472
283	-97733609	28391762
284	-96667925	28403312
285	-96558701	28523879
286	-96654806	28527225
287	-96753920	28617447
288	-96627029	28583246
289	-96658716	28634636
290	-102989181	31602254
291	-96635514	28604163
292	-96633256	28643128
293	-96433142	28651213
294	-97450954	28594242
295	-97502823	28739276
296	-97325740	28818405
297	-97287711	28691041
298	-97409977	28655060
299	-97208178	28891855
300	-97142583	28815627
301	-103298523	31525158
302	-97046932	28987738
303	-97093970	28895507
304	-96904080	28957232
305	-96781025	28854420
306	-96771340	28741290
307	-96882758	28657991
308	-96892954	28633877
309	-96983712	28586139
310	-97108204	28636726
311	-97055175	28746781
312	-102916301	31504381
313	-97028689	28756349
314	-96953574	28717105
315	-96879725	28782666
316	-96860052	28841884
317	-96972219	28895085
318	-96955636	28837424
319	-96942602	28812071
320	-96972717	28792890
321	-96972888	28805904
322	-96961576	28823653
323	-102858628	31376183
324	-96973697	28834074
325	-96986806	28845272
326	-96993300	28855172
327	-96986242	28827388
328	-96976558	28815973
329	-96987164	28813991
330	-96985833	28799300
331	-96995447	28801857
332	-96996809	28813962
333	-96998488	28823976
334	-106392273	31915649
335	-103101188	31863184
336	-96999737	28835104
337	-97007997	28854159
338	-97018895	28882093
339	-97056738	28910810
340	-97013734	28816636
341	-97003415	28799672
