iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	subnet_2_gap 	subnet_3_gap 	full_gap
33	4.6260572531542365E-6	0.0	1.9004475145800725E-6	0.0	1.7272848582550182E-6	0.1084709183244632
34	5.124399965916737E-6	-2.220446049250313E-16	1.4430108441487732E-6	1.1102230246251565E-16	2.220446049250313E-16	0.1099622710402326
35	5.867048467611546E-6	-2.220446049250313E-16	1.8151899771057245E-6	0.0	7.477521116738828E-7	0.10832316328278002
36	6.111879723214031E-6	0.0	1.4493594527875686E-6	0.0	2.7090103427163115E-7	0.1066978211019356
37	5.13643979904721E-6	0.0	2.014597988431177E-6	-2.220446049250313E-16	1.4659801831351515E-6	0.10814033780080523
38	4.453955701033685E-6	-2.220446049250313E-16	1.530349512224305E-6	0.0	0.0	0.10788427692393232
39	6.241425826836178E-6	0.0	1.816178244129496E-6	-2.220446049250313E-16	6.644591495907903E-7	0.10717268970613203
40	5.817329627455514E-6	-2.220446049250313E-16	1.4472859874992139E-6	-2.220446049250313E-16	1.7511828565019982E-7	0.10562431068841716
41	3.6418565724227747E-6	0.0	1.9934842296898125E-6	0.0	1.4079706405212278E-6	0.10744741247634237
42	4.191218804461272E-6	0.0	1.5097642851458204E-6	0.0	-2.220446049250313E-16	0.10625013351255097
43	4.578433752566724E-6	-2.220446049250313E-16	2.005436083640788E-6	-2.220446049250313E-16	6.384674396953116E-7	0.10673099412250031
44	6.419983198391321E-6	0.0	1.4462387143421296E-6	0.0	9.9190423208384E-8	0.1051455789426331
45	3.7385430615710646E-6	0.0	1.8185087909960984E-6	0.0	1.347317854172303E-6	0.10708209703247173
46	5.054295003859011E-6	-2.220446049250313E-16	1.5360587966029016E-6	1.1102230246251565E-16	0.0	0.10583455221999605
47	6.078392984498748E-6	2.220446049250313E-16	1.933574893975276E-6	1.1102230246251565E-16	6.42696242558749E-7	0.10684406236122845
48	5.266735429221292E-6	-4.440892098500626E-16	1.4571127001650197E-6	-2.220446049250313E-16	9.848768700582156E-8	0.10531491830565964
49	3.147095175681791E-6	0.0	1.945385168733438E-6	0.0	1.3598136727743793E-6	0.1070907753031668
50	4.653147406497027E-6	0.0	1.5346262827176105E-6	0.0	2.220446049250313E-16	0.10579985917435542
51	5.6955098091115985E-6	-2.220446049250313E-16	1.880701355649883E-6	1.1102230246251565E-16	6.438009605425066E-7	0.10696862807800389
