iteration 	 gap 	 fullGap
80	6.115323949709219E-10	0.9220548607940242
81	4.831105683568696E-10	0.9220548607814458
82	3.8165751370966504E-10	0.9220548607715089
83	3.0150944811148913E-10	0.9220548607636587
84	2.3819265118512663E-10	0.922054860757457
85	1.881721350032364E-10	0.9220548602869951
86	1.4865602811765542E-10	0.9220548602831247
87	1.1743829807759502E-10	0.922054860280067
88	9.277644941099779E-11	0.9220548602776515
89	7.329343538802227E-11	0.9220548602757432
90	5.790187785216402E-11	0.9220548602742357
91	4.5742635957746695E-11	0.9220548602730447
92	3.6136714914237094E-11	0.9220548602721039
93	2.8548048500560042E-11	0.9220548602713606
94	2.2553119740019493E-11	0.9220548602707734
95	1.7817083421111154E-11	0.9220548602703096
96	1.4075605761254932E-11	0.9220548602699431
97	1.1119730793254197E-11	0.9220548602696536
98	8.784558180356114E-12	0.922054860269425
99	6.939938846455412E-12	0.9220548602692442
100	5.482627917234015E-12	0.9220548602691014
101	4.331352283163187E-12	0.9220548602689888
102	3.4217660616675195E-12	0.9220548602688996
103	2.703311773582571E-12	0.9220548602688293
104	2.1356331162506567E-12	0.9220548602687737
105	1.6872297534313737E-12	0.9220548602687297
106	1.3328789959647681E-12	0.9220548602686951
107	1.0530752975674192E-12	0.9220548602686677
108	8.319003388588165E-13	0.922054860268646
109	6.573593298833187E-13	0.9220548602686289
110	5.194752958180982E-13	0.9220548602686154
111	3.363025221087726E-16	0.9220548602685646
112	3.363025221087726E-16	0.9220548602685646
113	3.363025221087726E-16	0.9220548602685646
114	3.363025221087726E-16	0.9220548602685646
115	3.363025221087726E-16	0.9220548602685646
116	3.363025221087726E-16	0.9220548602685646
117	3.363025221087726E-16	0.9220548602685646
118	3.363025221087726E-16	0.9220548602685646
119	3.363025221087726E-16	0.9220548602685646
120	3.3630252210877257E-16	0.9220548602702089
121	3.3630252210877257E-16	0.9220548602702089
122	3.3630252210877257E-16	0.9220548602702089
123	3.3630252210877257E-16	0.9220548602702089
124	3.3630252210877257E-16	0.9220548602702089
125	3.3630252210877257E-16	0.9220548602702089
126	3.3630252210877257E-16	0.9220548602702089
127	3.3630252210877257E-16	0.9220548602702089
128	3.3630252210877257E-16	0.9220548602702089
129	3.3630252210877257E-16	0.9220548602702089
130	3.3630252210877257E-16	0.9220548602702089
131	3.3630252210877257E-16	0.9220548602702089
132	3.3630252210877257E-16	0.9220548602702089
133	3.3630252210877257E-16	0.9220548602702089
134	3.3630252210877257E-16	0.9220548602702089
135	3.3630252210877257E-16	0.9220548602702089
136	3.3630252210877257E-16	0.9220548602702089
137	3.3630252210877257E-16	0.9220548602702089
138	3.3630252210877257E-16	0.9220548602702089
139	3.3630252210877257E-16	0.9220548602702089
140	3.3630252210877257E-16	0.9220548602702089
141	3.3630252210877257E-16	0.9220548602702089
142	3.3630252210877257E-16	0.9220548602702089
