iteration 	 gap
126	3.3306690738754696E-16
127	3.3306690738754696E-16
128	3.3306690738754696E-16
129	3.3306690738754696E-16
130	3.3306690738754696E-16
131	3.3306690738754696E-16
132	3.3306690738754696E-16
133	3.3306690738754696E-16
134	3.3306690738754696E-16
135	3.3306690738754696E-16
136	3.3306690738754696E-16
137	3.3306690738754696E-16
138	3.3306690738754696E-16
139	3.3306690738754696E-16
140	3.3306690738754696E-16
141	3.3306690738754696E-16
142	3.3306690738754696E-16
143	3.3306690738754696E-16
144	3.3306690738754696E-16
145	3.3306690738754696E-16
146	3.3306690738754696E-16
147	3.3306690738754696E-16
148	3.3306690738754696E-16
149	3.3306690738754696E-16
150	3.3306690738754696E-16
151	3.3306690738754696E-16
152	3.3306690738754696E-16
153	3.3306690738754696E-16
154	3.3306690738754696E-16
155	3.3306690738754696E-16
156	3.3306690738754696E-16
157	3.3306690738754696E-16
158	3.3306690738754696E-16
159	3.3306690738754696E-16
160	3.3306690738754696E-16
161	3.3306690738754696E-16
162	3.3306690738754696E-16
163	3.3306690738754696E-16
164	3.3306690738754696E-16
165	3.3306690738754696E-16
166	3.3306690738754696E-16
167	3.3306690738754696E-16
168	3.3306690738754696E-16
169	3.3306690738754696E-16
170	3.3306690738754696E-16
171	3.3306690738754696E-16
172	3.3306690738754696E-16
173	3.3306690738754696E-16
174	3.3306690738754696E-16
175	3.3306690738754696E-16
176	3.3306690738754696E-16
177	3.3306690738754696E-16
178	3.3306690738754696E-16
179	3.3306690738754696E-16
180	3.3306690738754696E-16
181	3.3306690738754696E-16
182	3.3306690738754696E-16
183	3.3306690738754696E-16
184	3.3306690738754696E-16
185	3.3306690738754696E-16
186	3.3306690738754696E-16
187	3.3306690738754696E-16
188	3.3306690738754696E-16
189	3.3306690738754696E-16
190	3.3306690738754696E-16
191	3.3306690738754696E-16
192	3.3306690738754696E-16
193	3.3306690738754696E-16
194	3.3306690738754696E-16
195	3.3306690738754696E-16
196	3.3306690738754696E-16
197	3.3306690738754696E-16
198	3.3306690738754696E-16
199	3.3306690738754696E-16
200	3.3306690738754696E-16
201	3.3306690738754696E-16
202	3.3306690738754696E-16
203	3.3306690738754696E-16
204	3.3306690738754696E-16
205	3.3306690738754696E-16
206	3.3306690738754696E-16
207	3.3306690738754696E-16
208	3.3306690738754696E-16
209	3.3306690738754696E-16
210	3.3306690738754696E-16
211	3.3306690738754696E-16
212	3.3306690738754696E-16
213	3.3306690738754696E-16
214	3.3306690738754696E-16
215	3.3306690738754696E-16
216	3.3306690738754696E-16
217	3.3306690738754696E-16
218	3.3306690738754696E-16
219	3.3306690738754696E-16
220	3.3306690738754696E-16
221	3.3306690738754696E-16
222	3.3306690738754696E-16
223	3.3306690738754696E-16
224	3.3306690738754696E-16
225	3.3306690738754696E-16
226	3.3306690738754696E-16
227	3.3306690738754696E-16
228	3.3306690738754696E-16
229	3.3306690738754696E-16
230	3.3306690738754696E-16
231	3.3306690738754696E-16
232	3.3306690738754696E-16
