iteration 	 master_gap 	subnet_0_gap 	subnet_1_gap 	subnet_2_gap 	subnet_3_gap 	full_gap
20	0.0026326304810500023	0.0	1.4234270220292444E-6	0.0	2.0622439010908877E-6	0.10245036475627967
21	0.00172303289088227	0.0	1.7980937102590744E-6	0.0	5.820881366913611E-7	0.11913372735106775
22	0.0021447904355825775	0.0	2.1601293538342503E-6	0.0	1.5239176834880297E-6	0.11030851588384727
23	0.0019033374067128905	0.0	1.800262420248444E-6	-2.220446049250313E-16	6.871775840577854E-7	0.12150259948637154
24	8.675852508278625E-4	-4.440892098500626E-16	2.1932109289801716E-6	0.0	8.184634129326795E-7	0.11687828266193645
25	0.0016756845794539954	1.1102230246251565E-16	1.9871344938415803E-6	0.0	7.236808966526453E-7	0.12599011016835704
26	0.0013311927279324731	-2.220446049250313E-16	2.4039721233659606E-6	0.0	1.2061740645163965E-6	0.1261461802910554
27	0.0018030080994890785	0.0	1.903609884168489E-6	0.0	5.950743013904969E-7	0.1381698923796434
28	7.717179739121782E-4	-2.220446049250313E-16	2.4507750734370504E-6	0.0	5.36457442135152E-7	0.1353414670759645
29	0.003070408717342099	-2.220446049250313E-16	1.8195792106379116E-6	0.0	4.739076300275258E-7	0.13484681561427714
30	0.002097732551789133	-2.220446049250313E-16	2.3091858474266758E-6	0.0	9.432057740399458E-7	0.13239166296058835
31	0.001951411283456883	1.1102230246251565E-16	1.952410727978915E-6	0.0	7.408958165866508E-7	0.13558076628043725
32	5.631759407492831E-4	-2.220446049250313E-16	2.553718271292027E-6	1.1102230246251565E-16	4.9011515401709E-7	0.13515374319114393
33	3.6207962290735196E-4	-2.220446049250313E-16	1.8641483930936786E-6	0.0	6.206113997153651E-7	0.13681524647322307
34	9.831638523816189E-4	0.0	2.3266563625723435E-6	-2.220446049250313E-16	1.2421640915860621E-6	0.1358865797110297
35	6.575085600049047E-4	0.0	1.8463218652842173E-6	0.0	6.844235780345542E-7	0.14180530420945647
36	4.318931375681956E-4	1.1102230246251565E-16	2.3777659481361013E-6	0.0	5.439219488145852E-7	0.13354127567601692
37	5.872694668963563E-4	-2.220446049250313E-16	1.939921139282319E-6	1.1102230246251565E-16	5.204990675133914E-7	0.1340291949436494
38	7.286031255148151E-4	0.0	2.473417704429437E-6	1.1102230246251565E-16	8.494122675228866E-7	0.1330331143804383
39	4.880375286387961E-4	-2.220446049250313E-16	1.9472811022547276E-6	3.3306690738754696E-16	8.445096371101357E-7	0.12919604523239625
40	8.469090102150023E-4	0.0	2.35674372695005E-6	0.0	5.313005011498007E-7	0.13093305893069707
41	3.634258071232299E-4	-2.220446049250313E-16	1.790496361842031E-6	0.0	4.59916304151875E-7	0.13331867879858472
42	5.650428584533795E-4	0.0	2.4710073234235352E-6	1.1102230246251565E-16	9.62340022891972E-7	0.13256299753405132
43	3.992446204142963E-4	-2.220446049250313E-16	1.7679703901984922E-6	0.0	8.062669992758842E-7	0.13499285727371957
44	4.598494619368898E-4	-4.440892098500626E-16	2.3733802567704743E-6	0.0	4.7170610473212804E-7	0.13003199156421263
45	3.4502908822142686E-4	-2.220446049250313E-16	1.8673969708338234E-6	3.3306690738754696E-16	5.470421816644588E-7	0.132212680730739
46	1.297743082568914E-4	-4.440892098500626E-16	2.4829401994441724E-6	0.0	1.0108835112321302E-6	0.1305130921283112
47	3.85263634374966E-4	-2.220446049250313E-16	1.986433206924154E-6	-2.220446049250313E-16	8.002629787728921E-7	0.13416800081308256
48	2.669613349522981E-4	-2.220446049250313E-16	2.3532520566638127E-6	0.0	5.285679833821888E-7	0.12836961494732035
49	2.0671482409995168E-4	0.0	1.849624736149913E-6	3.3306690738754696E-16	5.380907380780897E-7	0.1313094807845656
50	3.516987565092E-4	-2.220446049250313E-16	2.3763587803093955E-6	3.3306690738754696E-16	1.0030695416496371E-6	0.12959857797211516
51	2.3334582873379972E-4	0.0	1.8107281469781356E-6	0.0	7.846914309439512E-7	0.13253510416283498
52	2.8421559589775214E-4	-2.220446049250313E-16	2.492723372604644E-6	0.0	5.212720859404385E-7	0.1280796067563209
53	1.7054450345677097E-4	-2.220446049250313E-16	1.8289012608807553E-6	0.0	5.403391587499584E-7	0.1304269437070512
