From	To	Volume	Cost
20053	212362	16878.27383	0.59040028
20053	212361	7955.440993	1.148970822
20054	212366	2163.793575	1.485205118
20055	211344	20144.33936	2.378337947
20055	236701	17972.80917	2.828377225
20056	212730	20525.01938	9.623038947
20056	236702	1634.529202	4.754604198
20060	211355	0	3.702515
20061	212732	4113.728817	2.922931017
20061	212730	10187.56908	1.646889611
20062	212731	3942.227439	8.642488726
20065	211360	9375.921569	10.47110422
20065	236714	1820.141436	2.419887129
20066	236711	4295.953202	5.785941223
20066	236712	1062.133306	11.18387717
20067	211723	3259.767754	5.422630104
20067	236708	6942.068571	5.029963829
20068	212468	4545.052561	15.06786159
20068	236713	307.238156	6.059259005
20070	236733	8337.018289	1.743547079
20071	236690	9305.058086	1.795630082
20073	212874	19738.45332	4.343323673
20074	212689	21874.77918	0.512176315
20074	212690	19722.49779	1.165914917
20075	212874	22724.89448	3.496863977
20076	212513	890.625463	1.175475012
20077	236699	6765.92403	1.991651176
20078	212516	22465.21284	1.191266563
20079	212648	51283.96141	1.762011011
20081	212871	28757.45711	1.414149074
20081	236700	16927.22587	1.355714204
20083	212877	40636.56622	0.904285008
20084	212693	12032.27623	2.819083575
20085	212872	25803.25629	1.219077939
20086	212692	70768.98001	2.02584549
20088	212648	35559.13806	1.466141769
20089	212517	10686.16469	2.109792594
20091	204118	9477.978611	2.113868013
20091	237148	188.533393	0.905274
20092	212710	9910.454511	3.27638961
20093	212706	14387.63544	1.605098942
20093	236698	9777.951497	3.672617357
20098	212706	35073.5496	2.626793317
20098	212707	23603.94769	1.631147547
20099	212594	3867.771869	2.48326775
20099	236705	2903.754322	2.419070378
20101	236697	5439.312556	2.99395598
20102	205457	13378.53507	1.676941787
20103	212599	7187.830038	0.819892029
20104	236695	14643.04753	1.394162992
20105	212720	9121.909082	4.381804516
20106	236703	675.419586	4.828202026
20107	212535	16119.86227	2.376392118
20108	236693	9619.399018	2.084371115
20110	212521	6964.713123	2.370407768
20111	236686	4815.022457	1.528430764
20113	204510	6667.011018	1.898777005
20113	237172	9711.425222	1.46327367
20114	205456	8120.224974	0.295603491
20115	236692	3715.126422	3.498709963
20116	212543	64349.05356	6.015803047
20116	212541	28505.18562	3.910716727
20118	212438	47775.99202	1.596819315
20119	236726	29904.26732	3.286235515
20120	212465	2278.617514	3.670903328
20121	211712	6243.983884	2.502100272
20121	212485	5602.937971	2.348060662
20122	236717	7667.080747	0.689488004
20124	211706	47808.70314	1.496198696
20125	204822	0	16.648418
20125	48043	2655.310411	12.21867632
20126	212610	15136.27961	2.775429319
20127	211703	16069.48339	1.346001751
20128	236719	18469.20536	0.816602983
20129	212575	34222.28419	1.521312137
20131	236724	48437.93302	0.921217078
20132	236720	7161.595894	1.177103465
20134	212798	2025.417442	1.851527126
20135	204167	1882.483344	33.0269719
20136	212786	4320.055785	4.016539563
20137	212483	1373.298762	10.7281733
20137	212484	26.436907	2.19655
20138	212469	343.664005	3.618322004
20138	236715	6.740953	12.66439
20138	212463	1064.264123	2.413132037
20139	212853	2159.177834	3.393793268
20140	211408	1030.629527	3.032937044
20141	211400	7070.687956	3.123125775
20142	212480	167.218583	0.958283
20143	212805	1457.895522	4.653272149
20144	212794	9845.666063	1.13967495
20145	236653	547.742424	10.19847503
20145	236654	1835.240068	12.37681967
20146	204849	578.896238	26.8080711
20147	213554	26686.79928	0.629457145
20148	236639	15289.05332	2.669550016
20148	213546	8248.386956	0.468349807
20149	213471	24588.93542	0.511108859
20150	213563	14493.20091	0.572655607
20151	208206	1153.694149	2.899595054
20152	208208	1069.820859	6.563115103
20152	335324	2235.557167	7.780980666
20153	212894	35.607431	16.073605
20154	236635	7291.138934	4.350301644
20155	211756	16469.7325	1.041567804
20156	236610	4375.182189	1.510956606
20157	204987	2768.523035	0.790465111
20158	211760	15948.69317	2.776175793
20158	211757	7999.878092	1.449874328
20158	236607	6860.599907	1.238334397
20159	213463	591.669032	1.494845006
20159	236608	8679.408904	0.187068362
20160	236611	25043.43093	0.527372687
20161	213480	6194.445163	4.873868346
20162	213521	998.231706	7.915852106
20163	236612	2203.396579	5.908762489
20164	213522	0	4.482631
20164	213524	4005.065004	5.563128819
20165	211771	8732.055727	9.946086535
20165	213481	729.558781	1.928454013
20166	236613	3654.821454	2.75682373
20167	208183	1015.734063	12.74033818
20168	205471	0	0.360438
20168	205472	11756.83123	0.44702474
20169	213148	0	6.676028
20169	213184	1185.706363	7.55443015
20169	213146	384.622475	3.329193005
20172	208204	1142.321886	9.83180418
20173	211779	4237.393416	1.912512712
20174	236640	1252.134362	22.2304175
20174	236642	138.955187	4.105938001
20174	213436	0	5.67656
20175	213438	190.724763	9.624971003
20175	236616	4491.982502	4.483536909
20175	213224	5363.197759	5.899325776
20176	213219	3680.7905	1.419459382
20177	213199	3031.070436	5.479712944
20178	212897	1088.796572	4.067909067
20179	204900	1148.24212	2.532142047
20180	212900	10.496078	13.530837
20181	213170	5015.155173	2.037165118
20181	213079	0	10.711697
20182	236618	16396.89646	3.004595138
20182	236619	3542.271366	4.654526148
20182	236620	3645.60428	1.715699452
20183	213489	582.507821	6.869619027
20183	213093	7994.826265	4.302739899
20185	213107	18882.30901	2.308035716
20187	213075	13297.46924	0.547302828
20188	213569	2502.857592	2.820241313
